question,document
Can I still join the course if I'm late to it?,74eb249bbf
"If I join the course now, can I still get a certificate?",74eb249bbf
Do I need to finish the project before submissions close to get the certificate?,74eb249bbf
"Is it too late to start this course, or can I still enroll?",74eb249bbf
What’s the deadline for project submission if I want a certificate?,74eb249bbf
"I registered for the LLM Zoomcamp, but I never got a confirmation email — should I be worried?",977bf7786c
Do I actually need to wait for a signup confirmation before I start the course and do homework?,977bf7786c
"If there’s no confirmation email, how do I know I’m officially accepted into the LLM Zoomcamp?",977bf7786c
"Is course registration required for access, or can I just begin learning and submitting assignments right away?",977bf7786c
What’s the point of registering for the LLM Zoomcamp if there’s no checked list or approval email?,977bf7786c
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,489dd1c9d9
Where is the livestream URL for office hours usually announced before the session starts?,489dd1c9d9
"If I want to ask questions during a live session, should I use chat or Slido?",489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where is that channel?",489dd1c9d9
Why are we told not to post questions directly in the live chat during these sessions?,489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what docs or repo should I open first?",04919992b3
"Can I join the course at any time, or do I have to wait for a specific start date?",04919992b3
"What’s the usual weekly routine for this course — videos, notebooks, homework, then submission?",04919992b3
Where can I check the homework deadlines and turn in my answers?,04919992b3
"Is the homework basically the same as the lesson work, or does it use a different dataset/task?",04919992b3
I can’t find my name on the leaderboard — how do I jump to my own record?,c2903069a0
"Why does the leaderboard show a random name for me, and can I change it?",c2903069a0
Where can I check what display name I’m using in the course profile?,c2903069a0
How do I avoid having the default nickname on my certificate?,c2903069a0
What name should I put in the profile if I want my real name to appear on the certificate?,c2903069a0
Can I take the course at my own pace and still receive a certificate at the end?,69d122f12e
"If I work through the course later on my own, will I still be eligible for a certificate?",69d122f12e
"Do certificates get issued for the self-paced version, or only when I join a live cohort?",69d122f12e
Why isn't there a certificate for self-paced students in this course?,69d122f12e
Is peer-review required in order to get the course certificate?,69d122f12e
Can I still get the certificate if I missed the first homework?,9f689c185f
Do I have to do every homework assignment to qualify for the course certificate?,9f689c185f
Is the Capstone project the only required thing for getting the certificate?,9f689c185f
What happens if I skip homework — does it block the certificate or just affect my score?,9f689c185f
"Are homework points mandatory for the certificate, or only for the leaderboard ranking?",9f689c185f
Why does this homework keep changing before the deadline?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if the homework is actually ready to do?,96286b4be4
Is it safe to start the assignment early if it still says draft?,96286b4be4
Why might the homework instructions or tasks be different later on?,96286b4be4
When is the next run of the course scheduled for?,bd31146b0e
Do you know when this course will be available again?,bd31146b0e
What’s the next time this course is being offered?,bd31146b0e
Is there a planned date for the next course session?,bd31146b0e
When can students expect the course to start again?,bd31146b0e
Where can I find the course videos if I’m starting from scratch?,31456f4b5f
Is there a main place I should use to access the lessons and lectures?,31456f4b5f
"Do the lesson pages include the video links, or do I need to look somewhere else?",31456f4b5f
"Should I rely on the YouTube playlist, or is the GitHub repo the better starting point?",31456f4b5f
How do I quickly get to the lecture videos for each lesson in LLM Zoomcamp?,31456f4b5f
Where do I go to see the LLM Zoomcamp syllabus and upcoming deadlines?,20c5a1347e
Is there a place for checking homework and keeping track of my progress in LLM Zoomcamp?,20c5a1347e
What platform should I use to follow the current cohort structure for the course?,20c5a1347e
Does LLM Zoomcamp have a course management site like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Where can I find the official page for homework, deadlines, and course progress in this zoomcamp?",20c5a1347e
"Do you guys have a live class or office hour for every module, or is everything just pre-recorded in the repo?",d65e05bd7a
"If I get stuck on a module, where should I ask for help since there aren’t separate live sessions each time?",d65e05bd7a
"Are live sessions part of the normal course schedule, or do they only happen when you announce them?",d65e05bd7a
Is there any paid option with regular Zoom office hours and more support for this course?,d65e05bd7a
Are the course materials free even if I join the optional community support thing?,d65e05bd7a
Can I count my Bluesky posts toward learning in public credits for this course?,dbf5369006
Are Bluesky posts accepted if I want to get learning in public credits?,dbf5369006
